medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
5221BCE45F9FD34B709EB0882885B7AB,2E1FB8A90B130E4850C78B1D446CA5B2,VTS,2013-01-13 09:27:00,CSH,4.5,0,0.5,0,0,5
F3C1838DEEEC604BEF83435252E88AD1,827271F24820F6131343F851806A3848,VTS,2013-01-13 09:27:00,CSH,4.5,0,0.5,0,0,5
0A34A99FFA084D5791FF569897425D1C,B9FF37E4A9CF1165946C15962B13748F,VTS,2013-01-13 09:21:00,CRD,7,0,0.5,1,0,8.5
8F9A97E0996369A5CA0EDE9E5713F51E,A1BDF1340F735028FECFE70E7E8F323E,VTS,2013-01-13 09:33:00,CRD,4,0,0.5,1,0,5.5
34B7F35279DC6C79B6636E58C807C897,1E24B96D8953EDCEB1C3E6BDE8277DAC,VTS,2013-01-13 09:33:00,CRD,8.5,0,0.5,2.12,0,11.12
065BED6566F2BB3F0512E7D461611B53,362B5B761AD35CC689DA3A86A5CF6B97,VTS,2013-01-13 09:28:00,CRD,9,0,0.5,1.8,0,11.3
4FB81477831466402F49434071A3E6D0,ECF40060030F3E903A7091065738802E,VTS,2013-01-13 09:33:00,CRD,5.5,0,0.5,2,0,8
19E7CEEFBA9ECA2D75646B52D9AE5961,F6FC82116AD7F35E4584824409FB49CA,VTS,2013-01-13 09:15:00,CRD,52,0,0.5,7.7,4.8,65
BC80F0D571255E123E2026B6796D0C31,F2F37D93E36D3225A6243F69AC28BD8E,VTS,2013-01-13 09:31:00,CSH,5.5,0,0.5,0,0,6
861DC3E173CA188FEA09E9BE20E02F59,EA87BD8633FC70481F6A89CD3FECF736,VTS,2013-01-13 09:16:00,CRD,24.5,0,0.5,4.9,0,29.9
9BB934828EB711E57642DB7674A8264A,E87D982182F6490E3A70ED132BB6F5BF,VTS,2013-01-13 09:31:00,CRD,5,0,0.5,1,0,6.5
CEBDF09A60BF166DF41F860742D4D4E1,8C84D3A332310A938A4C2C06988A9D57,VTS,2013-01-13 09:24:00,CSH,8,0,0.5,0,0,8.5
DB9C06A85E95FD70421DFFD94BE9022D,E7E3415700D7310F7DC5308CF7150033,VTS,2013-01-13 09:29:00,CSH,7.5,0,0.5,0,0,8
C8DD330967D27D35C2C497D766A2CEB8,7D1B40FE9DA5A46EB4AD50ADF2EAC929,VTS,2013-01-13 09:27:00,CSH,6.5,0,0.5,0,0,7
4F1F935C18FA88AC59CE51772D1680DE,7DD2DE6E0098DF6229CDE92605F5C166,VTS,2013-01-13 09:32:00,CSH,6,0,0.5,0,0,6.5
